input,target,prediction
ventures,வெண்சூர்ஸ்,வென்டுரிஸ்
monterey,மான்டிரே,மொன்டேரி
izhuthupottavar,இழுத்துப்போட்டவர்,இழுதுபொட்டவர்
povatharku,போவதற்கு,பொவதற்கு
aagividum,ஆகிவிடும்,ஆகிவிடும்
padutthiya,படுத்திய,படுத்திய
mudhalvarai,முதல்வரை,முதல்வரை
thalaimaith,தலைமைத்,தலைமைத்
thoarruviththaar,தோற்றுவித்தார்,தோர்விருத்தார்
kannikalaich,கண்ணிகளைச்,கண்ணிகளைச்
kaimioo,கேமியோ,கையூமி
veentum,குளிக்க,வீண்டும்
devaalayam,தேவாலயம்,தேவாயாம்
veluththu,வெளுத்து,வெளுத்து
ooduruvalgalukkum,ஊடுருவல்களுக்கும்,ஓடுறுவள்களுக்கும்
naattavargazh,நாட்டவர்கள்,நாட்டவர்க்
killeen,கில்லீன்,கில்லேன்
kuudumaana,கூடுமான,குடுமான
kool,கூல்,கோல்
thiranaalikalukkaana,மாற்றுத்,திரணாளிகளுக்கான
seiyappattan,செய்யப்பட்டான்,செய்யப்பட்டன்
vanggak,வங்கக்,வங்கக்
mupparimaana,முப்பரிமாண,முப்பரியான
makizhunthu,மகிழுந்து,மகிழுந்து
ippodhey,இப்போதே,இப்பெத்
udalparumanukkum,உடல்பருமனுக்கும்,உடல்பருமனுக்கும்
bye,பை,பிய்
mukaitheen,முகைதீன்,முகைதேன்
ther,தேர்,தெர்
aarvamum,ஆர்வமும்,ஆர்வமும்
railgal,ரயில்கள்,ரைல்கள்
woonsocket,வூன்சாகெட்,லெல்சச்சட்ட
paththaandu,பத்தாண்டு,பத்தாண்டு
sasthri,சாஸ்திரி,சா்்திரி
sangiligal,சங்கிலிகள்,சங்கிலிகள்
kinna,கிண்ண,கின்னா
uthaviyaalargal,உதவியாளர்கள்,உதவியாளர்கள்
aaksuvaris,ஆக்சுவரிஸ்,ஆக்சுவரிச்
evu,ஈவு,வேு
vaakuvaadham,வாக்குவாதம்,வாகுவாம்
aayeraththai,ஆயிரத்தை,ஆயெரத்தை
thodarbuth,தொடர்புத்,தொடர்புத்
rahman,ரஹ்மான்,ராம்னன
miqii,மிக்கி,மியி
kaavalthuraip,காவல்துறைப்,காவல்துறைப்
cincinnati,சின்சினாட்டி,சின்னின்டடி
goodyear,குட்யியர்,கூட்யேர்
naalgalil,நாள்களில்,நால்களில்
rand,ரேண்ட்,ராந்ட்
idaippaguthiyilulla,இடைப்பகுதியிலுள்ள,இடைப்பகுதியிலுள்ள
saregama,ஸரிகம,சரச்கமா
heidelbergceat,ஹைடில்பெர்க்சியேட்,ஹெய்யெல்கிட்ட்க
nicotine,நிகோடின்,நிக்்ிடனன
vitayamaaga,விடயமாக,விடயமாக
paathiyaaka,பாதியாக,பாதியாக
musleem,முசுலீம்,மாஸ்லேமே
nadaththinar,நடத்தினா்,நடத்தினர்
thamillaiyum,தமிழையும்,தமில்லையும்
ain,ஆன்,யின்
mukaththuvaaraththil,முகத்துவாரத்தில்,முகத்துவாரத்தில்
thoguththaar,தொகுத்தார்,தொகுத்தார்
thodarbukalil,தொடர்புகளில்,தொடர்புகளில்
anpaip,அன்பைப்,அன்பைப்
aalaaga,ஆளாக,ஆளாக
hattiesburg,ஹட்டீஸ்பர்க்,ஹட்டிச்சர்க்க
capsyulukku,கேப்ஸ்யூலுக்கு,காச்யிலும்கு
odyssey,ஒடிசி,டால்சிய்
kulaththinaraik,குலத்தினரைக்,குளத்தினரைக்
euro,யூரோ,ஹரோ
iniyaavadhu,இனியாவது,இநியாவது
sugar,சுகர்,சுகர்
chakkarattaip,சக்கரத்தைப்,சக்கரட்டைப்
darpoo,டர்போ,தர்போ
maruththuvamanaikal,மருத்துவமனைகள்,மறுத்துமணைகளக்
ggoo,கூ,கொக்கா
vaiththiyasaalaiyin,வைத்தியசாலையின்,வைத்தியாசலையின்
sikar,சிகர்,சிகர்
mandabaththinullea,மண்டபத்தினுள்ளே,மண்டதத்தினில்லே
nelsan,நெல்சன்,நெல்சன்
arai,அரை,அராய்
irumal,இருமல்,இருமல்
mision,மிஷன்,மிசின்
siridhu,சிறிது,சிறிது
udagaththai,ஊடகத்தை,உடகத்தை
aaruroodu,ஆறுரோடு,ஆருறூடு
kadarkaraiyilirundhu,கடற்கரையிலிருந்து,கடர்களையிருந்து
kolin,கோளின்,கொலின்
thokaiyee,தொகையே,தோகையே
maalaiyum,மாலையும்,மாலையும்
thanikthanik,தனித்தனிக்,தனிக்திங்
rekla,ரேக்ளா,ரெக்லா
pilaikalai,பிழைகளை,பிலைகளை
cuubaa,கியூபா,சுபாா
manaiviyidam,மனைவியிடம்,மணைவியிடம்
visaka,விசாகா,விசக
azhagi,அழகி,அழகி
keats,கீட்ஸ்,காட்ஸ்
kevalmna,கேவலம்னா,கேவல்ம்ன
purigindranar,புரிகின்றனர்,புறிகின்றனர்
vaakkittu,வாக்கிட்டு,வாக்கிட்டு
cofee,காஃபி,கோசி
uyarmanithargal,உயர்மனிதர்கள்,உயர்மினத்தகள்
seidharth,சித்தார்த்,செய்தர்த்
surrivara,சுற்றிவர,சுற்றிவ
kuuttaaka,கூட்டாக,குட்டாக
paarththukondu,பார்த்துக்கொண்டு,பார்த்துகொண்டு
adhanadippadaiyil,அதனடிப்படையில்,அதனடிப்படையில்
redar,ரேடார்,ரேட்ரா
dhayalan,தயாளன்,தயலன்
valinadaththinaar,வழிநடத்தினார்,வளிநடத்தினார்
sarangpur,சாரங்பூர்,சர்்்புர்
independence,இண்டிபெண்டென்ஸ்,இன்டினென்டேச்
antriravu,அன்றிரவு,அன்றிரவு
pilaant,பிளாண்ட்,பிலாந்த
kuutapata,கூட்டப்பட்ட,குடபாத
soozhappattullathu,சூழப்பட்டுள்ளது,சூழப்பட்டுள்ளது
yooth,யூத்,யூட்
karachii,கராச்சி,கரசிசி
jaunpur,ஜவுன்புர்,ஜான்புர்
veliyaagavillai,வெளியாகவில்லை,வெளியாகவில்லை
crest,க்ரெஸ்ட்,கிரா்ட்ட்
tholaipaesi,தொலைபேசி,தொலைசோசி
gtpl,ஜிடிபியல்,க்்ப்்
thukkamadaiyum,துக்கமடையும்,துக்கமமையைும்
villiyam,வில்லியம்,வில்லியம்
vulagak,உலகக்,வுளகக்
azhukku,அழுக்கு,அழுக்கு
firozpur,ஃபிரோஸ்புர்,பிரெர்பபர்
baliga,பாலிகா,பலிக
pallavargal,பல்லவர்கள்,பல்லவர்கள்
pathulaiyil,பதுளையில்,பதுளையில்
thaniththanmaiyaana,தனித்தன்மையான,தனித்தன்மையான
valanguvathudan,வழங்குவதுடன்,வளங்குவதுடன்
serverukku,சர்வருக்கு,செர்வெருக்கு
atharkerpa,அதற்கேற்ப,அதர்க்கேப்
thurubadhanaana,துருபதானான,துறுபதனான
maliq,மாலிக்,மலிி
conner,கொன்னர்,கோன்ன்
koly,கோலி,கோல்
chalukkiyarkal,சாளுக்கியர்கள்,சலுக்கியர்கள்
mcmahon,மெக்மஹான்,ம்கமம்ன்
vazhipattukkollalaam,வழிபட்டுக்கொள்ளலாம்,வழிபட்டுக்கொள்ளாம்
hpaarm,ஃபார்ம்,ஹார்ம்
kozhukkattai,கொழுக்கட்டை,கொழுக்கட்டை
khammam,கம்மம்,காம்மம்
ahamadabad,அகமதாபாத்,அனமாகத்
katarkarai,கடற்கரை,கடர்கரை
piratecam,மத்தியப்,பிரட்சசம்
verumaiyaaga,வெறுமையாக,வெருமையாக
molina,மொலினா,மொலினா
kadapa,கடப்பா,கடப்
malaikaattugalin,மலைக்காட்டுகளின்,மலைகாட்டுகளின்
varuvaayth,வருவாய்த்,வருவாய்த்
nasavil,நாசாவில்,சசவில்
theendaamai,தீண்டாமை,தீண்டாமை
jagaragallu,ஜகரகள்ளு,ஜகரககளுள
reading,ரீடிஞ்,ரேடிங்
morena,மொரீனா,மோர்னா
kidaikkindra,கிடைக்கின்ற,கிடைக்கின்ற
sonthamaa,சொந்தமா,சொந்தமா
titaniuumm,டைட்டானியம்,ட்டனியும்்்
qamio,கேமியோ,சமேயோ
loodhana,லூதியானா,லூதன
seidhavarukku,செய்தவருக்கு,செய்வவருக்கு
poruththappattirukkum,பொருத்தப்பட்டிருக்கும்,பொறுத்தப்படுத்திக்கும்
karrachi,கராச்சி,கர்ரசச்
kambankal,கம்பங்கள்,கம்பங்கள்
yaaaraenum,யாரேனும்,யாரானும்
americaavai,அமெரிக்காவை,அமெர்சாகவை
ungalukkaana,உங்களுக்கான,உங்களுக்கான
kooriyathaavathu,கூறியதாவதுஃ,கூறியாதவது
ekadarinaa,எகடரினா,ஓடகரினா
seibavargalukkum,செய்பவர்களுக்கும்,செய்பவர்களுக்கும்
serverkal,சர்வர்கள்,செர்விர்கள்
kattumaanam,கட்டுமானம்,கட்டுமானம்
varadhan,வரதன்,வரதன்
virichal,விரிசல்,விரிச்சல்
uudaaka,ஊடக,ஊடாக
busyaaga,பிசியாக,புச்யாக
hydro,ஹைட்ரோ,யெட்ரோ
niraivetru,நிறைவேற்று,நிறைவெற்று
villupuram,விழுப்புரம்,விள்லுபுறம்
waee,வேய்,வே
tobaggo,டொபாகோ,டோக்கோக
murpattaar,முற்பட்டார்,முற்பட்டார்
noushathin,நெளஷதின்,நோஷத்தின்
magana,மகனா,கானன
ahmadabad,அகமதாபாத்,அன்மடபட
noolakaththai,நூலகத்தை,நூலகத்தை
kettaal,கேட்டாள்,கெட்டால்
magizhunthu,மகிழுந்து,கசிழுந்து
kavalaippadamal,கவலைப்படாமல்,கலலைப்படம்
thaankal,தாங்கல்,தாங்கள்
bakaa,பகா,பாக
pinaikkappattavar,பிணைக்கப்பட்டவர்,பினைக்கப்பட்டவர்
piriththaar,பிரித்தார்,பிறித்தார்
uruvaakkuvatharku,உருவாக்குவதற்கு,உருவாக்குவதற்கு
yenavethaan,எனவேதான்,யீனேதான்
colombil,கொழும்பில்,கோலம்பூில்
seethakkathi,சீதக்காதி,சீதக்கதி
aasram,ஆசிரமம்,ஆஸ்ரம்
lenexa,லெனெக்ஸா,லெல்சா
euless,யுலெஸ்,எலலஸ்ஸ்
solvathu,சொல்வது,சொல்வது
koottavum,கூட்டவும்,கூட்டவும்
adikku,அடிக்கு,அடிக்கு
puthuchchaeri,புதுச்சேரி,புதுச்சேசி
paaluravu,பாலுறவு,பாலுவரு
ambalavaanar,அம்பலவாணர்,அப்பலாவனர்
maruththiruppargal,மறுத்திருப்பார்கள்,மறுத்திருப்பக்கள்
koluppil,கொழுப்பில்,கொலுப்பில்
kuva,குவா,குவா
eedupattadhaaga,ஈடுபட்டதாக,நடுகட்டதாக
rajput,ராஜ்புட்,ராப்புட்
beatles,பீட்டில்ஸ்,போட்லேஸ்
musulim,முசுலீம்,முசுலிம்
azhiththaar,அழித்தார்,அழித்தார்
maaraaka,மாறாக,மாராக
aavudaiyaal,ஆவுடையாள்,ஆவுடையால்
paso,பசோ,பாச்
vidukiravanukku,விடுகிறவனுக்கு,விடுகிறவங்கககு
parattukkal,பாராட்டுக்கள்,பறட்டுக்கள்
cholunkal,சொல்லுங்கள்,சொலுங்கள்
vangadhaesaththin,வங்கதேசத்தின்,வங்கதசசத்தின்
sarawagi,சரவாகி,சரரகி
surendranagar,சுரேன்திரநகர்,சுரெந்தரார
saantham,சாந்தம்,சாந்தம்
magaadevi,மகாதேவி,மகாடேவி
choottik,சூட்டிக்,சூட்டிக்
pandavargalukkum,பாண்டவர்களுக்கும்,பண்டவர்களுக்கும்
nucleus,ந்யூக்லியஸ்,நுக்லமஸ்
uzhaika,உழைக்க,உழைக்
sent,செயிண்ட்,சென்ட்
roawer,ரோவர்,ராரேேர்
untaanathu,உண்டானது,உண்டானது
aayvukalukku,ஆய்வுகளுக்கு,ஆய்லுகளுக்கு
duke,ட்யூக்,டுகே
gables,கபிள்ஸ்,காலபஸ்
vaguththadhu,வகுத்தது,வகுத்தது
pandavargalai,பாண்டவர்களை,பண்டவர்களை
malarae,மலரே,மலரே
cherinthu,செறிந்து,செரிந்து
tamizhakatthukku,தமிழகத்துக்கு,தமிககத்துக்கு
paalum,பாலும்,பாலும்
garg,கார்க்,கார்க்
castaneda,காஸ்டானீடா,காஸ்டேன
sivaprakasa,சிவப்பிரகாச,சிவப்பரசச
lakhimpur,லக்மிபுர்,லகிச்சுப்
kaavalturaik,காவல்துறைக்,காலல்வுகைக்
kethumaalanin,கேதுமாலனின்,கெதுமாளினன்
americavil,அமெரிக்காவில்,அமெர்சிவால்
illaiyenil,இல்லையெனில்,இல்லையெனல்
seerudaikal,சீருடைகள்,சீருடைகள்
koodadhu,இருக்கக்,கூடது
rishii,ரிஷி,ரிசியி
kaattuvathaaga,காட்டுவதாக,காட்டுவதாக
dhoni,டோனி,தோனி
solvadhenral,சொல்வதென்றால்,சொல்வதென்ற்
noushadhin,நெளஷதின்,நோஷத்தின்
uchchakatta,உச்சகட்ட,உச்சக்கட்ட
soozhappatirukkira,சூழப்பட்டிருக்கிற,சூழப்படிற்குகிற
textiles,டெக்ஸ்டைல்ஸ்,டெக்கிலிஸ்
ashok,அசோகா,அசோக்
kuzhandhaay,குழந்தாய்,குழந்தாய்
uppsala,உப்சாலா,உப்பில்ல
veeraankanaigal,வீராங்கனைகள்,வீராங்களைகள்
vlaadimir,விளாடிமிர்,வ்லாட்மிிி
tholumpoathu,தொழும்போது,தொளும்போது
maththiyatharaik,மத்தியதரைக்,மத்தியாதகக்
rahaaney,ரஹானே,ராஜானே
nava,நவ,வா
rend,ரேண்ட்,ரென்ட்
qool,கூல்,மோல்
keeran,கிரண்,கீரன்
cipla,சிப்லா,கிப்லா
virumbugiraargal,விரும்புகிறார்கள்,விரும்புக்கார்கள்
nashik,நாஷிக்,ஷசிக்
kudumippidiyum,குடுமிப்பிடியும்,குடுமிப்பியிும்
arivippugalai,அறிவிப்புகளை,அறிவிப்புகளை
ringk,ரிங்க்,ரிங்க்
seidhidavum,செய்திடவும்,செய்திவடும்
francisco,ஃப்ரான்ஸிஸ்கோ,ப்ரானச்சிச்
thambathigal,தம்பதிகள்,தம்பதிகள்
peaththi,பேத்தி,பேத்தி
irundhaale,இருந்தாலே,இருந்தாலே
rehman,ரெஹ்மான்,ரெய்னன்
zed,ஜெட்,ீட்ட
serththanar,சேர்த்தனர்,செற்றத்னர்
vanggikku,வங்கிக்கு,வங்கிக்கு
iyakku,இயக்கு,இயக்கு
reilly,ரைல்லி,ரெய்லில்
thalaimaiyetraar,தலைமையேற்றார்,தலைமையெற்ற
financial,பைனான்சியல்,பினன்சினால்
quantam,குவாண்டம்,கான்டம்
samarppikka,சமர்ப்பிக்க,சமர்ப்பிக்க
magha,மகா,சக்
goud,குட்,கோட்
myyamaakavum,மையமாகவும்,மிய்மாகவும்
mattaththirkkum,மட்டத்திற்கும்,மட்டத்திற்கும்
kataisi,கடைசி,கடைச்
karuththuk,கருத்துக்,கருத்துக்
motihari,மோடிஹாரி,மொட்ராரி
sendrullathu,சென்றுள்ளது,சென்றுள்ளது
aatchiyamaikka,ஆட்சியமைக்க,ஆட்சையமைக்க
solvathentraal,சொல்வதென்றால்,சொல்வதென்றால்
kuzhanthaai,குழந்தாய்,குழந்தாய்
veesith,வீசித்,வீசித்
nilaithaan,நிலைதான்,நிலைதான்
gardner,கார்ட்னர்,கார்த்ர்
kalviye,கல்வியே,கால்வியே
paathaiyai,பாதையை,பாதையை
karpathil,கற்பதில்,கற்பதில்
eedupattanar,ஈடுபட்டனா்,நடுபட்டனர்
barron,பர்ரன்,பார்ர்ன
kodaikanal,கொடைக்கானல்,கொடைகளன்
khare,காரே,கார்
paanankal,பானங்கள்,பானங்கள்
gallon,கேலன்,கல்லோன்
larsen,லார்சன்,லார்சன்
thayanidhiyaagiya,தயாநிதியாகிய,தயனியதியாகிய
seyalpatum,செயல்படும்,செயல்படும்
setti,சதி,செட்டி
chuttinar,சூட்டினர்,சுட்டினர்
movers,மூவர்ஸ்,மோவர்ஸ்
iththeevu,இத்தீவு,இத்தீவு
pakuthiyaith,பகுதியைத்,பகுதியைத்
intrith,இன்றித்,இன்றித்
pradhaesa,மத்தியப்,பிரதேசச
vaelaich,வேலைச்,வேலைச்
paliyiduthal,பலியிடுதல்,பலியிடுதல்
chaudhary,சௌதரி,சாத்ரர்
ibraahim,இப்ராகிம்,இப்ராசய்
maarpai,மார்பை,மார்பை
nigazhndhirukkume,நிகழ்ந்திருக்குமே,நிகழ்ந்திருக்குசே
jhindal,ஜிந்தால்,ஜின்டல்
vaithirukkiradhu,வைத்திருக்கிறது,வைதிருக்கிறது
pidippathu,பிடிப்பது,பிடிப்பது
gaurilla,கொரில்லா,காரில்ல
cauimbatoore,கோவை,காயம்பட்டேரே
thaniththaniyaana,தனித்தனியான,தனித்தினான
manai,மனை,மாய்
kaarg,கார்க்,கார்க்
karuththukkalin,கருத்துக்களின்,கருத்துக்களின்
therigiradhu,தெரிகிறது,தெறிகிறது
earpadaatha,ஏற்படாத,நற்படாத
muhammad,முஹம்மத்,மாமம்ட்
provo,ப்ரோவோ,ப்ரோவோ
inthnikalvai,இந்நிகழ்வை,இந்நிலைக்வை
kaappeedu,காப்பீடு,காப்போடு
karkhele,கர்கேலே,கற்கெலே
vitna,விட்ன,விட்னா
kokarnesvarar,கோகர்னேஸ்வரர்,கோகர்வச்ச்ரர்
panri,பன்றி,பன்ரி
niruvappattuch,நிறுவப்பட்டுச்,நிறுவப்பட்டுச்
saintt,செயிண்ட்,சைந்த்ட
tuurbo,டர்போ,துர்போ
kuzhuvinargalukkidaiye,குழுவினர்களுக்கிடையே,குழுவினர்களுக்குடையே
tholuthaar,தொழுதார்,தொலுதார்
taataa,டாடா,டாடா
kelviin,கெல்வின்,கேல்வின்
premaa,பிரேமா,பிர்மாமே
thamizhakaththaych,தமிழகத்தைச்,தமிழகத்தைச்
maanikkam,மாணிக்கம்,மாணிக்கம்
sooraavalikal,சூறாவளிகள்,சூராவிகளள்
anant,அனன்த்,அனன்ட்
kizhaar,கிழார்,கிராா்
wadhawan,வாதவான்,வதான்
kuuttappatta,கூட்டப்பட்ட,குட்டப்பட்ட
seiyappattullaar,செய்யப்பட்டுள்ளார்,செய்யப்பட்டுள்ளார்
aarppaattam,ஆர்ப்பாட்டம்,ஆற்ப்பாட்டம்
kulatthirku,குளத்திற்கு,குளத்திற்கு
kadithaththil,கடிதத்தில்,கடித்ததில்
kaidhiyaaga,கைதியாக,கைதியாக
vaadiya,வாடிய,வாடிய
letin,லத்தீன்,லெட்டின்
loakiyaa,லோகியா,லோகியா
yoosiththu,யோசித்து,யோசித்து
solarkal,சோழர்கள்,சொலர்கள்
tara,தாரா,தர்
sivandhu,சிவந்து,சிவந்து
azhiththathu,அழித்தது,அழித்தது
kaidhu,கைது,கைது
sheppard,ஷெப்பர்ட்,ஷெப்பர்ட்
kulangkalum,குளங்களும்,குளங்களும்
thiruvadanai,திருவாடானை,திருவடனை
vetrtridam,வெற்றிடம்,வெற்றிடம்
peyaraal,பெயரால்,பெயரால்
mahabaleshwar,மஹாபலேஷ்வர்,மசாபலெெ்வர்
piriththiyaaniyaavil,பிரித்தியானியாவில்,பிரித்தியானியாவில்
talankalil,பிற,தலங்களில்
pirasanthaip,பிரசாந்தைப்,பிராந்தைப்
vachchinde,வச்சின்டே,வச்சின்டே
anju,அஞ்சு,அஜ்சு
paniyida,பணியிட,பணியிட
aarppaattangkal,ஆர்ப்பாட்டங்கள்,ஆற்ப்பட்டங்கள்
mcmillan,மேக்மில்லன்,ம்ஸ்லிலான்
eesal,ஈசல்,ஹசல்
ithazhaaka,இதழாக,இதவாக
moondrilirundhu,மூன்றிலிருந்து,மூன்றிலிருந்து
seedharth,சித்தார்த்,சீதர்த்
thalaivanum,தலைவனும்,தலைவனும்
urii,யூரி,உரிிி
waeter,வாட்டர்,வேட்ரே
vazhithoantralgal,வழித்தோன்றல்கள்,வழிஷோந்தாள்ள
varalaaratra,வரலாறற்ற,வரலாரற்ற
thaankak,தாங்கக்,தாங்கக்
gopy,கோபி,கோப்
itharkamaiya,இதற்கமைய,இத்கம்யை
araikuuval,அறைகூவல்,அறைகுவுள்
oppanthak,ஒப்பந்தக்,ஒப்பந்தக்
baabaavin,பாபாவின்,பாபாவின்
ewer,எவர்,எவர்
tharavugalai,தரவுகளை,தரவுகளை
neeroadu,நீரோடு,நீரோடு
sindhanaiyai,சிந்தனையை,சிந்தனையை
chary,சாரி,சார்
ooraga,ஊரக,ராகக
everett,எவெரெட்,எவீர்ட்ட
samanaana,சமனான,சமானன
appadiyum,அப்படியும்,அப்படியும்
khaliq,காலிக்,காலிச்
koophee,கோபி,கூபே
muyantrapoathu,முயன்றபோது,முயந்தபோறு
vetrtritaththai,வெற்றிடத்தை,வெற்றிறத்தை
nagaraththilirunthuthan,நகரத்திலிருந்துதான்,நகரத்திலிலுருந்தா
arivippukalai,அறிவிப்புகளை,அறிவிப்புகளை
poaga,போக,போக
goldain,கோல்டன்,கொல்டைன்
makammathu,முகம்மது,மகம்மது
payanikalukku,பயணிகளுக்கு,பயனிகளுக்கு
appagudhi,அப்பகுதி,அப்பகுதி
thuvakkappattu,துவக்கப்பட்டு,துவக்கப்பட்டு
kanniyar,கன்னியர்,கண்ணியர்
evanston,இவான்ஸ்டோன்,எவன்்்்்்்
vaaganangkalukku,வாகனங்களுக்கு,வாகனங்களுக்கு
kaurava,கௌரவ,காரவ
amerikkarkalukku,அமெரிக்கர்களுக்கு,அமெர்க்கர்களுக்கு
swain,ஸ்வென்,ஸ்வாயன்
moondrilirunthu,மூன்றிலிருந்து,மூன்றிலிருந்து
pukalpettraar,புகழ்பெற்றார்,புகல்பெற்றார்
orlando,ஒர்லாண்டோ,ஒர்லாந்தோ
kurainthavarkal,குறைந்தவர்கள்,குறைந்தவர்கள்
adhimugavai,அதிமுகவை,அதிமுகவை
gunamaa,குணமா,குணமா
thaangaamal,தாங்காமல்,தாங்கமால்
thoolvikkup,தோல்விக்குப்,தோல்விக்குப்
kaaranamaagap,காரணமாகப்,காரணமாகப்
kathaikku,கதைக்கு,கதைக்கு
becky,பெக்கி,பேக்கி
selikkukkum,செலிக்குக்கும்,செலிக்குக்கும்
kadaichchanggath,கடைச்சங்கத்,கடைச்சச்கத்
vaeroruvan,வேறொருவன்,வேரொருவன்
vazhanggunar,வழங்குநர்,வழங்குனன்
noolakangal,நூலகங்கள்,நூலகங்கள்
oovar,ஓவர்,ஹார்
carloo,கார்லோ,கார்லோ
thaangkakoodiya,தாங்கக்கூடிய,தாங்ககூடிய
arimugappaduthuven,அறிமுகப்படுத்துவேன்,அறிமுகப்படுத்துவன்
suzharpanthu,சுழற்பந்து,சுழர்பந்து
vimaananggalum,விமானங்களும்,விமானங்களும்
pygmies,பியார்,பிக்மம்ஸ்
tun,டூன்,டுன்
sothai,சொத்தை,சோதை
mudikkappattiruntha,முடிக்கப்பட்டிருந்த,முடிக்கப்பட்டிருந்த
magilchchiyaaga,மகிழ்ச்சியாக,மகிச்சிசியாக
shavai,ஷாவை,சாவை
guarrilla,கொரில்லா,கோரிர்லல
nirangalh,நிறங்கள்ஃ,நிரங்கள்
tamilakap,தமிழகப்,தமிகளப்
kenner,கென்னர்,கென்னர்
naveenath,நவீனத்,நேவேதன்
sanghvi,சங்கவி,சங்கிவி
paarththuch,பார்த்துச்,பார்த்துச்
samamaagavum,சமமாகவும்,சமமாகவும்
vaangum,வாங்கும்,வாங்கும்
geethai,கீதை,கீதை
padaiththanar,படைத்தனர்,படைத்தனர்
vilimpugal,விளிம்புகள்,விளிம்புகள்
kudippazhakkam,குடிப்பழக்கம்,குடிப்பழக்கம்
ingaa,இன்கா,இங்கா
sattamaa,சட்டமா,சட்டமா
jyothy,ஜோதி,ஜியோத்
ooraandil,ஓராண்டில்,ராாந்தில்
vangathaesaththin,வங்கதேசத்தின்,வங்கதசசத்தின்
maaskoovin,மாஸ்கோவின்,மாச்கூவின்
swasippadhaal,சுவாசிப்பதால்,ச்வச்சிப்தால்
padithal,படிதல்,படிதல்
pathikkappattullathu,பாதிக்கப்பட்டுள்ளது,பதிக்கப்பட்டுள்ளது
dhandavaalangal,தண்டவாளங்கள்,தன்டவாளங்கள்
shankar,பிரபு,நாங்கர்
vaelaiyaaga,வேலையாக,வேளையாக
amerikka,அமெரிக்கா,அமர்க்கக
thoolaith,தூளைத்,தூலைத்
vedik,வேதக்,வெடிக்
wlademer,விளாடிமிர்,ல்வமேமே்
patil,பாட்டில்,படில்
vichaikalai,விசைகளை,விச்சைகள்
virkanum,விற்கனும்,விற்கனும்
adhilaeyae,அதிலேயே,அதிலேயே
orange,ஆரஞ்சு,ஒரங்கே
solgireergal,சொல்கிறீர்கள்,சொல்கிறீர்கள்
kodukkappattikkum,கொடுக்கப்பட்டிக்கும்,கொடுக்கப்படிட்குக்ம்
thodarpukalil,தொடர்புகளில்,தொடர்புகளில்
sinthithal,சிந்தித்தல்,சிந்திலல்
shiiv,சிவ,சியி்
gond,கோன்ட்,கோன்ட்
bhasin,பாஸின்,பசிின்
koolgalai,கோல்களை,கோல்களை
kokuyo,கொகூயோ,கொகுயோ
poola,பவுலா,போல
tie,டை,டி
enrirunthirukkum,என்றிருந்திருக்கும்,எனிர்நிருந்துக்கும்
jammukashmirin,ஜம்முகாஷ்மீரின்,ஜம்மமுச்சியி்
panguthaarargalaaga,பங்குதாரர்களாக,பங்குமாரர்களாக
muzhavu,முழவு,முழவு
aasiriyaraakap,ஆசிரியராகப்,ஆசிரியராகப்
aanmikam,ஆன்மிகம்,ஆண்மிக்கா
pathaviyerpu,பதவியேற்பு,பதவியிற்பு
ahmadnagar,அஹமத்நகர்,அன்மட்னகர்
mudinthaalum,முடிந்தாலும்,முடிந்தாலும்
bhilai,பிலாய்,பிலை
carey,கரே,கேர்
padigal,படிகள்,படிகள்
covai,கோவை,கோவை
nanmaiyaaga,நன்மையாக,நண்மையாக
kavalaiyee,கவலையே,கலலையே
nadaththinaal,நடத்தினால்,நடத்தினால்
pinvaangkinaar,பின்வாங்கினார்,பின்வாங்கினார்
voolka,வோல்கா,லீல்க
nana,நானா,னன
just,ஜஸ்ட்,ஜிய்ட்
kallangkuzhikku,கல்லங்குழிக்கு,கல்லங்குழிக்கு
aadupavar,ஆடுபவர்,ஆடுபவர்
siims,சிம்ஸ்,சிய்ம்
supply,சப்ளை,சாப்பில்
bareilly,பரேல்லி,பரெய்லலல்
ariviththirunthaar,அறிவித்திருந்தார்,அறிவித்திருந்தார்
theriyaathaa,தெரியாதா,தெரியாதா
koabi,கோபி,கோபி
ungantha,உகந்த,உங்கந்த
mamallapuram,மாமல்லபுரம்,மால்லபுபரம்
dekalb,டெகால்ப்,டேகல்
idippu,இடிப்பு,இடிப்பு
thanseivinai,தான்செய்வினை,தன்சியில்யை
idhaiththaan,இதைத்தான்,இதைத்தான்
pirarukku,பிறருக்கு,பிரருக்கு
siridhum,சிறிதும்,சிறிதும்
sakkaranggalai,சக்கரங்களை,சக்கரங்களை
yerpadaatha,ஏற்படாத,யெற்படாத
talaivarai,தலைவரை,தலைவரை
angkeegaaraththaip,அங்கீகாரத்தைப்,அங்கீகாதத்தைப்
nizamat,நிசாமட்,நிலமா
jet,ஜெட்,ஜெட்
eekapoakam,ஏகபோகம்,ஈகோகம்
pradhaesam,மத்தியப்,பிரதேசம்
eevu,ஈவு,வேடு
sabaiyinaal,சபையினால்,சபையினால்
raedaar,ரேடார்,ராடார்
vidayam,விடயம்,விடயம்
aayvugalaiyum,ஆய்வுகளையும்,ஆய்குகளையும்
purivadhu,புரிவது,புறிவது
pirgaalaththu,பிற்காலத்து,பிற்களாத்து
civinki,ஒட்டகச்,வினிங்கி
hinton,ஹிண்டன்,வின்ன்ன்
murthiyaaga,மூர்த்தியாக,முற்றியாக
